X,Wynik_przyblizony,Blad_wzgledny
1.348962883e-21,1,0
1.380384265e-21,1,0
1.412537545e-21,1,0
1.445439771e-21,1,0
1.479108388e-21,1,0
1.513561248e-21,1,0
1.548816619e-21,1,0
1.584893192e-21,1,0
1.621810097e-21,1,0
1.659586907e-21,1,0
1.698243652e-21,1,0
1.737800829e-21,1,0
1.77827941e-21,1,0
1.819700859e-21,1,0
1.862087137e-21,1,0
1.905460718e-21,1,0
1.9498446e-21,1,0
1.995262315e-21,1,0
2.041737945e-21,1,0
2.089296131e-21,1,0
2.13796209e-21,1,0
2.187761624e-21,1,0
2.238721139e-21,1,0
2.290867653e-21,1,0
2.344228815e-21,1,0
2.398832919e-21,1,0
2.454708916e-21,1,0
2.511886432e-21,1,0
2.570395783e-21,1,0
2.630267992e-21,1,0
2.691534804e-21,1,0
2.754228703e-21,1,0
2.818382931e-21,1,0
2.884031503e-21,1,0
2.951209227e-21,1,0
3.01995172e-21,1,0
3.090295433e-21,1,0
3.16227766e-21,1,0
3.235936569e-21,1,0
3.311311215e-21,1,0
3.388441561e-21,1,0
3.467368505e-21,1,0
3.548133892e-21,1,0
3.630780548e-21,1,0
3.715352291e-21,1,0
3.801893963e-21,1,0
3.89045145e-21,1,0
3.981071706e-21,1,0
4.073802778e-21,1,0
4.168693835e-21,1,0
4.265795188e-21,1,0
4.365158322e-21,1,0
4.466835922e-21,1,0
4.570881896e-21,1,0
4.677351413e-21,1,0
4.786300923e-21,1,0
4.897788194e-21,1,0
5.011872336e-21,1,0
5.12861384e-21,1,0
5.248074602e-21,1,0
5.370317964e-21,1,0
5.495408739e-21,1,0
5.623413252e-21,1,0
5.754399373e-21,1,0
5.888436554e-21,1,0
6.025595861e-21,1,0
6.165950019e-21,1,0
6.309573445e-21,1,0
6.45654229e-21,1,0
6.60693448e-21,1,0
6.760829754e-21,1,0
6.918309709e-21,1,0
7.079457844e-21,1,0
7.244359601e-21,1,0
7.413102413e-21,1,0
7.58577575e-21,1,0
7.762471166e-21,1,0
7.943282347e-21,1,0
8.128305162e-21,1,0
8.317637711e-21,1,0
8.511380382e-21,1,0
8.7096359e-21,1,0
8.912509381e-21,1,0
9.120108394e-21,1,0
9.332543008e-21,1,0
9.54992586e-21,1,0
9.77237221e-21,1,0
1e-20,1,0
1.023292992e-20,1,0
